smiles,reaction_energy,Pred_LogS,isSoluble
O=C[C@@](C=O)(C=O)C=O,-1.2192846985816956,-0.3291204,1
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)NN=CC3=CC=CC=C3C(=O)O,-1.2162239554166794,-3.246318,1
C#CC(=O)C(=O)C#C,-1.2139023902714252,-1.2964358,1
O=CC(=O)C(=O)CO,-1.2108777483701707,0.1846056,1
NC(=O)C(=O)C(=O)C=O,-1.2092147371530533,-0.11681676,1
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].C(=C[C-]=O)[C-]=O.[Fe],-1.2075112281203269,0.47193336,1
N#C[C@@](C=O)(C=O)C=O,-1.207505407333374,-0.3639655,1
CC1=CC2=C(C=C1)N=C(C=C2C(=O)N)C3=CC=NC=C3,-1.1963426860392097,-3.4167826,1
COC(=O)C=C1C(=O)N2C[NH+](CN=C2S1)CC3=CC=CC=C3,-1.1922072646021844,-1.959915,1
COCCCNC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CC=C)N,-1.1913491319894791,-3.38858,1
CN1C(=C(C(=O)N(C1=O)C)C=C2C(=C3C=CC=CC3=N2)CCNC(=O)CCC(=O)[O-])O,-1.1816648905813694,-2.82295,1
CC(=O)NN=C1N=C(CS1)C2=CC=C(C=C2)[N+](=O)[O-],-1.180058724921942,-3.5323737,1
O=CNC(=O)C(=O)C=O,-1.1788496731638909,-0.046740294,1
N#C[C@@](C#N)(C=O)C=O,-1.1744872410357,-0.27741575,1
[NH-][CH+]OC(=O)C(=O)C=O,-1.1699956369757651,-0.1711998,1
O=CC#CC(=O)C=O,-1.168219677722454,-0.12759352,1
COC(=O)C(=O)C=O,-1.1632392514050007,-0.05134344,1
C#CC#CC(=O)C=O,-1.1609753368198872,-0.6099231,1
C#CC(=O)C#CC=O,-1.155272142148018,-1.0780287,1
O=CC(=O)C(=O)[C@H]1CO1,-1.1551017293214798,-0.26225352,1
C#CCC(=O)C(=O)C=O,-1.1531810553967952,-0.12527704,1
O=CC#CC=O,-1.1524691855371,-0.18031645,1
O=CN(C=O)C=O,-1.148899742746353,-0.009971857,1
O=CC(=O)[C@@]1(C=O)CO1,-1.1325231134623288,-0.39729428,1
CC1=C(SC2=C1C(=O)N(C=N2)C)C(=O)NCC3=CC=CC=N3,-1.1184968126803636,-3.174994,1
C1=CC(=O)C2=C(C1=O)C3=C(C(=CC(=O)C3=C2C(=O)O)CC(=O)O)O,-1.1065543536275624,-2.7710767,1
CC1=C(SC2=C1C(=O)N(C=N2)C)C(=O)N,-1.1056665288090706,-2.4597175,1
C1=[C-][C-]=[C-]C=C1C=CC2=C[C-]=C([C-]=C2)[N+](=O)[O-],-1.1029760867714882,-1.2295556,1
[C-]#[O+].[C-]#[O+].[C-]#[O+].C1=CC(=CC=C1C=CC2=[C-][C-]=[C-][C-]=[C-]2)[N+](=O)[O-].[Cr],-1.1029416883975267,-1.363868,1
C1=CSC(=C1)C=C2C(=N)N3C(=NC2=O)SC(=N3)C(F)(F)F,-1.0986110229045152,-3.3191803,1
C#CC(=O)N(C=O)C=O,-1.0975943048089742,-0.44291067,1
C#CC(=O)C(=O)C(C)=O,-1.0939478913992642,-0.19824648,1
C=CCNC(=O)CSC1=NC2=CC=CC=C2C3N1N=CC3,-1.0829220824450254,-3.4357176,1
NC(=O)C(=O)C=O,-1.0814643778145312,0.177459,1
O=COCC(=O)C=O,-1.0806238004475832,0.23166037,1
CC1=NC2=CC=CC=C2C(=C1C(=O)[O-])C(=O)[O-],-1.0763460174232722,-2.4427643,1
O=C[C@@](O)(C=O)C=O,-1.0746857927531004,0.18780136,1
O=CC(=O)[C@@](F)(F)F,-1.0677352467834949,-0.28282046,1
C#CC(=O)C#C,-1.057742596551776,-1.2879112,1
CN1C2=C(C(=O)N(C1=O)C)N=CN2CC(=O)NC3=CC=CC=C3C(=O)[O-],-1.0567149489998815,-2.0803251,1
N#C[C@@](C#N)(C#N)C=O,-1.0531729691773652,-0.344203,1
C=CCN1C(=C(C2=NC3=CC=CC=C3N=C21)C(=O)OCC4CCCO4)N,-1.0530994972229004,-3.6102202,1
O=C(NCc1ccccc1)N2Sc3ncccc3C2=O,-1.052222911477089,-3.6686666,1
O=CC(=O)[C@@H]1O[C@@H]1C=O,-1.0501904041349888,-0.10883832,1
C1=CC2=C(C=C1C(=O)O)C(=O)C3=CC(=C(C=C3C2=O)C(=O)O)C(=O)O,-1.0472069102436303,-2.9266024,1
O=Cc1cn[nH]c1C=O,-1.0461049857348204,-1.3568943,1
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]1=[C-][C-]=C([C-]=[C-]1)C=O.[Cr],-1.0438656237244606,0.24752879,1
C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F.[Sc+3],-1.0437403839200734,-0.8568394,1
C1=CC2=C(C=C1C(=O)O)C(=C(N2)C(=O)O)CC(=O)O,-1.0416140628308057,-2.2847812,1
N=C(C=O)N(C=O)C=O,-1.0403468341648578,-0.24336886,1
CC1=NOC(=O)C1=CC2=CC(=C(C(=C2)Cl)O)OC,-1.0389319185107946,-3.3895583,1
C#C[C@@H](C#N)C(=O)C=O,-1.0349335332602263,-0.14669752,1
C#CC(=O)NC(=O)C=O,-1.0325836072593928,-0.17933488,1
N#CCC(=O)C=O,-1.0278459820657968,0.23152089,1
N#CC(=O)C(=O)C=O,-1.0255449754446744,0.07569218,1
Cc1cccc(C)c1CNC(=O)N2Sc3ncccc3C2=O,-1.0205509260088206,-3.6604383,1
O=CC1=CCC(=O)C1=O,-1.0202471304684877,-0.75790143,1
C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-])[N+](=O)[O-])O,-1.0154172396093606,-3.5322719,1
O=CNC(=O)C=O,-1.0144971218079328,0.33308125,1
