smiles,reaction_energy
O=C1COC(=O)C(=C1)N,0.03082
O=C1COC(=O)C(N)=C1N,0.0253
O=C1COC(=O)C=C1O,0.0056
O=C1COC(=O)C(=C1)O,0.01502
O=C1COC(=O)C(O)=C1O,0.02287
O=C1COC(=O)C=C1S(=O)(=O)O,-0.0318
O=C1COC(=O)C(=C1)S(=O)(=O)O,-0.02852
O=C1COC(=O)C(S(=O)(=O)O)=C1S(=O)(=O)O,-0.06299
O=c1[nH][nH]c(=O)c(C(=O)O)c1C(=O)O,-0.02127
O=c1[nH][nH]c(=O)c(c1)C(=O)O,-0.00339
O=c1[nH][nH]c(=O)cc1,0.01877
O=c1[nH][nH]c(=O)c(F)c1,0.02138
O=c1[nH][nH]c(=O)c(F)c1F,0.0219
O=c1[nH][nH]c(=O)c(N)c1N,0.04347
O=c1[nH][nH]c(=O)c(c1)N,0.03776
O=c1[nH][nH]c(=O)c(c1)O,0.03385
O=c1[nH][nH]c(=O)c(O)c1O,0.04473
O=c1[nH][nH]c(=O)c(S(=O)(=O)O)c1S(=O)(=O)O,-0.0264
O=c1[nH][nH]c(=O)c(c1)S(=O)(=O)O,-0.00114
O=c1ssc(=O)c(C(=O)O)c1C(=O)O,-0.05555
O=c1ssc(=O)c(c1)C(=O)O,-0.02158
O=c1ssc(=O)cc1,-0.01036
O=c1ssc(=O)c(F)c1F,-0.00927
O=c1ssc(=O)c(F)c1,-0.00919
O=c1ssc(=O)c(N)c1N,0.01332
O=c1ssc(=O)c(c1)N,0.00863
O=c1ssc(=O)c(O)c1O,0.01063
O=c1ssc(=O)c(c1)O,0.00207
O=c1ssc(=O)c(S(=O)(=O)O)c1S(=O)(=O)O,-0.0629
O=c1ssc(=O)c(c1)S(=O)(=O)O,-0.02311
O=c1ooc(=O)cc1,0.0182
O=c1ooc(=O)c(C(=O)O)c1C(=O)O,-0.15505
O=c1ooc(=O)c(c1)C(=O)O,-0.00043
O=c1ooc(=O)c(F)c1,0.02509
O=c1ooc(=O)c(F)c1F,0.03002
O=c1ooc(=O)c(c1)N,0.05449
O=c1ooc(=O)c(c1)O,-0.13938
O=c1ooc(=O)c(O)c1O,-0.13595
O=c1ooc(=O)c(S(=O)(=O)O)c1S(=O)(=O)O,-0.0448
O=c1ooc(=O)c(c1)S(=O)(=O)O,-0.01544
O=C1C(N)=CC(=O)C(N)=C1C(=O)O,-0.01722
O=C1C(N)=CC(=O)C(=C1)N,-0.02861
O=C1C(N)=C(C(=O)O)C(=O)C(N)=C1C(=O)O,-0.02985
O=C1C(N)=C(F)C(=O)C(=C1F)N,-0.03412
O=C1C(N)=C(F)C(=O)C(=C1)N,-0.03149
O=C1C(N)=C(N)C(=O)C(N)=C1N,-0.02983
O=C1C(N)=CC(=O)C(N)=C1N,-0.03182
O=C1C(N)=C(O)C(=O)C(=C1)N,-0.02343
O=C1C(N)=C(O)C(=O)C(N)=C1O,-0.02452
O=C1C(N)=C(S(=O)(=O)O)C(=O)C(N)=C1S(=O)(=O)O,-0.03023
O=C(O)c1nccnc1C(=O)O,-0.03321
n1cc(C(=O)O)ncc1C(=O)O,-0.01887
O=C(O)c(n1)cncc1C(=O)O,-0.02535
n1ccncc1,-0.00784
O=C(O)c1nc(C(=O)O)c(C(=O)O)nc1C(=O)O,-0.03493
O=C(O)c1nc(C(=O)O)cnc1C(=O)O,-0.02873
n1ccncc1C(=O)O,-0.02111
Fc1nccnc1F,0.02653
Fc1cnc(F)cn1,0.02095
Fc1cncc(n1)F,0.00686
Fc1cnccn1,-0.00028
Fc1nc(F)c(F)nc1F,0.0446
Fc1nc(F)cnc1F,0.03419
Nc1nccnc1N,0.02234
Nc1cnc(cn1)N,0.00972
Nc1cncc(n1)N,0.01918
Nc1cnccn1,0.008
Nc1nc(N)c(N)nc1N,0.03516
Nc1nc(N)cnc1N,0.02676
Oc1nccnc1O,0.02065
Oc1cnc(cn1)O,0.01595
Oc1cncc(n1)O,0.02181
Oc1nc(O)cnc1O,0.02667
Oc1nc(O)c(O)nc1O,0.07173
Oc1cnccn1,0.00887
O=S(=O)(O)c1nccnc1S(=O)(=O)O,-0.01564
n1cc(S(=O)(=O)O)ncc1S(=O)(=O)O,-0.0273
O=S(=O)(O)c(n1)cncc1S(=O)(=O)O,-0.02588
n1ccncc1S(=O)(=O)O,-0.01827
O=S(=O)(O)c1nc(S(=O)(=O)O)cnc1S(=O)(=O)O,-0.03365
O=S(=O)(O)c1nc(S(=O)(=O)O)c(S(=O)(=O)O)nc1S(=O)(=O)O,-0.02878
O=C(O)c1nnccc1C(=O)O,-0.02185
O=C(O)c1nncc(c1)C(=O)O,-0.03863
O=C(O)c1nnc(cc1)C(=O)O,-0.00416
O=C(O)c1cnncc1C(=O)O,-0.03647
O=C(O)c1nncc(C(=O)O)c1C(=O)O,-0.04269
O=C(O)c1nnc(C(=O)O)cc1C(=O)O,-0.03539
O=C(O)c1nnccc1,-0.02009
c1cnncc1C(=O)O,-0.02316
n1ccccn1,-0.00327
O=C(O)c1nnc(C(=O)O)c(C(=O)O)c1C(=O)O,-0.04977
Fc1nnccc1,-0.00396
Fc1cnncc1,-0.00446
Fc1nnccc1F,-0.00434
Fc1nncc(F)c1,-0.00449
Fc1nnc(F)cc1,-0.00476
Fc1cnncc1F,-0.00378
Fc1nncc(F)c1F,-0.00492
Fc1nnc(F)cc1F,-0.00479
Fc1nnc(F)c(F)c1F,-0.00613
Nc1nnccc1,0.00113
Nc1cnncc1,0.00832
Nc1nncc(N)c1N,0.02
Nc1nnc(N)cc1N,0.01635
Nc1nnccc1N,0.01702
Nc1nncc(c1)N,0.00939
Nc1nnc(N)cc1,0.00291
Nc1cnncc1N,0.01631
Nc1nnc(N)c(N)c1N,0.02711
Oc1nnccc1O,0.01224
Oc1nncc(c1)O,0.00849
O=c1[nH][nH]c(=O)cc1,0.00604
Oc1cnncc1O,0.01207
Oc1nncc(O)c1O,0.0164
O=c1[nH][nH]c(=O)c(c1)O,0.01524
Oc1nnccc1,0.00095
Oc1cnncc1,0.00451
O=c1[nH][nH]c(=O)c(O)c1O,0.02262
O=S(=O)(O)c1nnccc1,-0.02199
c1cnncc1S(=O)(=O)O,-0.02237
O=S(=O)(O)c1nncc(S(=O)(=O)O)c1S(=O)(=O)O,-0.04571
O=S(=O)(O)c1nnc(S(=O)(=O)O)cc1S(=O)(=O)O,-0.03979
O=S(=O)(O)c1nnccc1S(=O)(=O)O,-0.02507
O=S(=O)(O)c1nncc(c1)S(=O)(=O)O,-0.03982
O=S(=O)(O)c1nnc(cc1)S(=O)(=O)O,-0.0288
O=S(=O)(O)c1cnncc1S(=O)(=O)O,-0.03905
O=S(=O)(O)c1nnc(S(=O)(=O)O)c(S(=O)(=O)O)c1S(=O)(=O)O,-0.0502
Nc1c(C(=O)O)nc(cn1)N,-0.00765
Nc1c(C(=O)O)nc(N)c(n1)C(=O)O,-0.01231
Nc1cnc(cn1)N,0.00983
Nc1c(F)nc(c(n1)F)N,0.02857
Nc1c(F)nc(cn1)N,0.01738
